"Id","Title"
2,Alfa-Romeo
5,Audi
6,Bentley
7,BMW
9,BYD
10,Cadillac
11,Chery
12,Chevrolet
14,Citroen
15,Daewoo
16,Dodge
18,Ferrari
19,FIAT
20,Ford
24,Great-Wall
27,Honda
28,Hummer
29,Hyundai
31,Infiniti
32,Isuzu
33,Jaguar
34,Jeep
35,KIA
37,Lamborghini
39,Land-Rover
40,Lexus
41,Lifan
42,Lincoln
43,Maserati
44,Maybach
45,Mazda
46,Mercedes-Benz
47,Mini
48,Mitsubishi
50,Nissan
51,Opel
52,Peugeot
53,Porsche
54,Renault
55,Rolls-Royce
56,Saab
57,SEAT
58,Skoda
59,Smart
60,Ssang-Yong
61,Subaru
62,Suzuki
63,Toyota
64,УАЗ
65,ВАЗ
66,Volkswagen
67,Volvo
69,Geely
70,Datsun
75,Chrysler
76,Iran Khodro
78,Ignore
79,Acura
80,Pontiac
81,Rover
82,Daihatsu
84,Другие
85,ТагАЗ
86,ЗАЗ
87,ГАЗ
88,Ravon
89,Москвич
